X,Y,name,easting,northing
46.205858830367745,-9.386367420522983,0,632406.44,8962204.4
46.205900977960695,-9.38675874777034,1,632410.92,8962161.11
46.205745533876744,-9.387178781935813,2,632393.69,8962114.72
46.205744523191356,-9.387623971673468,3,632393.41,8962065.49
46.205680613437366,-9.388023256611618,4,632386.24,8962021.36
46.205588682596108,-9.388456276992249,5,632375.98,8961973.51
46.205432375066138,-9.388916555360733,6,632358.64,8961922.67
46.205477895148292,-9.389229739714105,7,632363.52,8961888.02
46.205404393113582,-9.389541159501578,8,632355.33,8961853.61
46.205362158444274,-9.390046716072687,9,632350.5,8961797.72
46.20521886220012,-9.390372480839474,10,632334.64,8961761.75
46.205205899072098,-9.39081092908653,11,632333.05,8961713.27
46.205003655311266,-9.391233202584546,12,632310.68,8961666.65
46.205111855111149,-9.391660295805487,13,632322.4,8961619.38
46.205243715244556,-9.392082786788784,14,632336.72,8961572.61
46.205104416852834,-9.392485222491194,15,632321.27,8961528.16
46.205349772282943,-9.392838057136489,16,632348.08,8961489.05
46.205430477990745,-9.39326669074733,17,632356.78,8961441.62
46.205438889957776,-9.393724237142807,18,632357.53,8961391.02
46.205488376736952,-9.394130821846224,19,632362.81,8961346.04
46.205500324090757,-9.394557338708699,20,632363.96,8961298.87
46.205527147344334,-9.394966984859701,21,632366.75,8961253.56
46.205672311197631,-9.395391329035148,22,632382.53,8961206.58
46.205797320294842,-9.395806879749935,23,632396.1,8961160.58
46.205689470598351,-9.396218703518889,24,632384.1,8961115.08
46.205822650616611,-9.396600676818085,25,632398.58,8961072.79
46.20597610386281,-9.396972814405055,26,632415.29,8961031.58
46.206202850706113,-9.39734144618488,27,632440.05,8960990.73
46.206244101290977,-9.397735760196896,28,632444.43,8960947.11
46.206105956382928,-9.398103196029549,29,632429.12,8960906.53
46.206305111954919,-9.39849805602875,30,632450.84,8960862.79
46.206406697042048,-9.39893321905646,31,632461.83,8960814.63
46.206505103817214,-9.399397149544768,32,632472.46,8960763.29
46.20666049591081,-9.399723703302421,33,632489.4,8960727.12
46.206704980444606,-9.400104893745072,34,632494.14,8960684.95
46.206631267738778,-9.400460625066595,35,632485.91,8960645.64
46.206730135679912,-9.400820830829687,36,632496.63,8960605.77
46.206861394971646,-9.401199373519619,37,632510.9,8960563.86
46.206680882750518,-9.401534037939662,38,632490.95,8960526.92
46.206602369302836,-9.401976055682224,39,632482.16,8960478.07
