"","col_id","egg","date","t_start","t_end","cloud_cover","n_people","moon_if","moon_ph","wind","rain","area","area_name","month"
"1","179",TRUE,2008-12-26,2008-12-26 20:25:00,2008-12-26 21:04:00,NA,2,0.00633394044335783,0.994950438253227,NA,"dry","BP","Picard Back Path",361
"2","183",TRUE,2009-01-16,2009-01-16 20:10:00,2009-01-16 21:23:00,0.5,4,0.645825680199519,0.70572295421357,NA,"dry","BP","Picard Back Path",16
"3","219",TRUE,2009-12-23,2009-12-23 20:13:00,2009-12-23 21:15:00,0.05,4,0.398808458063624,0.253113146429314,"light","dry","BP","Picard Back Path",357
"4","321",TRUE,2012-01-16,2012-01-16 20:10:00,2012-01-16 09:05:00,0,1,0.46870659502217,0.785825623617939,"calm","dry","BP","Picard Back Path",16
"5","325",TRUE,2012-02-20,2012-02-20 20:17:00,2012-02-20 21:30:00,0,2,0.0171797061390182,0.971198997074225,"calm","dry","BP","Picard Back Path",51
"6","326",TRUE,2012-02-21,2012-02-21 20:18:00,2012-02-21 21:08:00,0.1,2,0.000740557721572832,0.0050856205805303,"calm","wet","CP","Picard Coastal Path",52
"7","33",TRUE,2006-12-18,2006-12-18 20:00:00,2006-12-18 20:45:00,NA,NA,0.0397230751686639,0.969526123654305,NA,NA,"BP","Picard Back Path",352
"8","35",TRUE,2007-01-19,2007-01-19 20:00:00,2007-01-19 23:00:00,0.1,4,0.00309526819536343,0.0531455623950023,NA,"dry","CP","Picard Coastal Path",19
"9","363",TRUE,2012-12-20,2012-12-20 20:16:00,2012-12-20 21:57:00,0.02,2,0.546828018423407,0.265560149064413,"calm","dry","BP","Picard Back Path",355
"10","364",TRUE,2013-01-07,2013-01-07 20:20:00,2013-01-07 09:21:00,0,2,0.229299200144604,0.875190147537978,"light","wet","BP","Picard Back Path",7
"11","416",TRUE,2014-01-16,2014-01-16 20:10:00,2014-01-16 21:15:00,0.2,3,0.998020143746811,0.539757177348292,"calm","dry","BP","Picard Back Path",16
"12","518",TRUE,2016-01-28,2016-01-28 20:10:00,2016-01-28 09:15:00,0,2,0.805710316087924,0.666182913145803,"calm","wet","BP","Picard Back Path",28
